"",".ale","Tonnage","cabins"
"1",-0.0445737345261252,2.329,0.33
"2",-0.0404579011927921,10,0.33
"3",0.0305309604143521,22.08,0.33
"4",0.0203982560492709,30.277,0.33
"5",0.0771234227159373,35.143,0.33
"6",0.0773665477159406,46,0.33
"7",0.0216069852159443,51.004,0.33
"8",-0.023990785617387,55.451,0.33
"9",0.262135550692144,63,0.33
"10",0.583749724161548,70.367,0.33
"11",1.17369039082824,70.606,0.33
"12",1.78969291860604,76,0.33
"13",2.4013553167542,77.713,0.33
"14",3.13958573342088,85,0.33
"15",4.03819061981546,88.5,0.33
"16",4.92112861981548,91,0.33
"17",5.6098621198155,101.353,0.33
"18",5.28885810682848,110,0.33
"19",4.94277894016179,113,0.33
"20",5.16636388539989,138,0.33
"21",-0.0372226604520512,2.329,1.04
"22",-0.0413384937853844,10,1.04
"23",-0.0203522988449084,22.08,1.04
"24",-0.0227176698766555,30.277,1.04
"25",0.041774830123345,35.143,1.04
"26",0.0783419551233484,46,1.04
"27",0.0589063926233521,51.004,1.04
"28",0.0496326217900208,55.451,1.04
"29",0.372082958099552,63,1.04
"30",0.697997131568956,70.367,1.04
"31",1.29223779823565,70.606,1.04
"32",1.91254032601345,76,1.04
"33",2.52850272416161,77.713,1.04
"34",3.27103314082828,85,1.04
"35",4.0102343605562,88.5,1.04
"36",4.73376869388955,91,1.04
"37",5.26309852722289,101.353,1.04
"38",4.94209451423587,110,1.04
"39",4.59601534756919,113,1.04
"40",4.81960029280728,138,1.04
"41",-0.016551437662937,2.329,1.94
"42",-0.0288989376629365,10,1.94
"43",-0.033620921293888,22.08,1.94
"44",-0.028218958992301,30.277,1.94
"45",0.0440408743410336,35.143,1.94
"46",0.116931999341037,46,1.94
"47",0.133820436841041,51.004,1.94
"48",0.128846666007709,55.451,1.94
"49",0.45559700231724,63,1.94
"50",0.785811175786644,70.367,1.94
"51",1.38435184245333,70.606,1.94
"52",2.00895437023113,76,1.94
"53",2.62921676837929,77.713,1.94
"54",3.2123435183793,85,1.94
"55",3.79214107144054,88.5,1.94
"56",4.35627173810722,91,1.94
"57",4.72619790477389,101.353,1.94
"58",4.40519389178687,110,1.94
"59",4.05911472512019,113,1.94
"60",4.28269967035829,138,1.94
"61",0.0350226522841544,2.329,3.55
"62",0.00837515228415393,10,3.55
"63",-0.0106468313467986,22.08,3.55
"64",-0.00937944047378221,30.277,3.55
"65",-0.0115902738071142,35.143,3.55
"66",-0.0131698154737773,46,3.55
"67",0.00801862202622618,51.004,3.55
"68",0.00734485119289435,55.451,3.55
"69",0.338395187502425,63,3.55
"70",0.672909360971829,70.367,3.55
"71",1.11204636097185,70.606,3.55
"72",1.57724522208297,76,3.55
"73",2.03810395356446,77.713,3.55
"74",2.4618270368978,85,3.55
"75",2.88222092329237,88.5,3.55
"76",3.28694792329238,91,3.55
"77",3.49747042329237,101.353,3.55
"78",3.17646641030536,110,3.55
"79",2.83038724363867,113,3.55
"80",3.05397218887677,138,3.55
"81",0.07037748561749,2.329,4.25
"82",0.0294299856174885,10,4.25
"83",-0.00389199801346501,22.08,4.25
"84",-0.0227456071404493,30.277,4.25
"85",-0.0450774404737819,35.143,4.25
"86",-0.0432776488071136,46,4.25
"87",-0.0187098779737787,51.004,4.25
"88",-0.0150836488071108,55.451,4.25
"89",0.156563020835749,63,4.25
"90",0.331673527638481,70.367,4.25
"91",0.611406860971828,70.606,4.25
"92",0.917202055416284,76,4.25
"93",1.2186571202311,77.713,4.25
"94",1.48297653689777,85,4.25
"95",1.74396675662567,88.5,4.25
"96",1.989290089959,91,4.25
"97",2.04040892329233,101.353,4.25
"98",1.71940491030531,110,4.25
"99",1.37332574363862,113,4.25
"100",1.59691068887672,138,4.25
"101",0.0905889925619424,2.329,6.07
"102",0.0353414925619399,10,6.07
"103",-0.0122804910690147,22.08,6.07
"104",-0.00982010019600135,30.277,6.07
"105",-0.0108379335293363,35.143,6.07
"106",-0.0111199196404473,46,6.07
"107",0.0152265178595542,51.004,6.07
"108",0.0206314136928887,55.451,6.07
"109",0.0328744166690767,63,6.07
"110",0.0485812568051373,70.367,6.07
"111",0.168910923471814,70.606,6.07
"112",0.315302451249598,76,6.07
"113",0.457353849397745,77.713,6.07
"114",0.562269599397737,85,6.07
"115",0.663856152458966,88.5,6.07
"116",0.749775819125628,91,6.07
"117",0.641490985792284,101.353,6.07
"118",0.320486972805265,110,6.07
"119",-0.025592193861418,113,6.07
"120",0.197992751376681,138,6.07
"121",0.16746675182121,2.329,6.87
"122",0.0979192518212066,10,6.87
"123",0.0716112681902497,22.08,6.87
"124",0.0953856590632606,30.277,6.87
"125",0.0833898257299242,35.143,6.87
"126",0.0721298396188117,46,6.87
"127",0.0598112771188132,51.004,6.87
"128",0.0583005062854794,55.451,6.87
"129",0.00459750926167073,63,6.87
"130",-0.0456416506022655,70.367,6.87
"131",0.0350640160644086,70.606,6.87
"132",0.141831543842191,76,6.87
"133",0.244258941990335,77.713,6.87
"134",0.323604691990329,85,6.87
"135",0.399621245051561,88.5,6.87
"136",0.459970911718224,91,6.87
"137",0.326116078384884,101.353,6.87
"138",0.00511206539786389,110,6.87
"139",-0.340967101268819,113,6.87
"140",-0.11738215603072,138,6.87
"141",0.186007006923261,2.329,7.47
"142",0.102159506923256,10,7.47
"143",0.0971655232922972,22.08,7.47
"144",0.109961914165307,30.277,7.47
"145",0.0869880808319686,35.143,7.47
"146",0.0647500947208547,46,7.47
"147",0.0461140322208538,51.004,7.47
"148",0.0382312613875193,55.451,7.47
"149",0.051234073887519,63,7.47
"150",-0.0386290859764197,70.367,7.47
"151",0.00245258069025171,70.606,7.47
"152",0.0695961084680311,76,7.47
"153",0.132399506616173,77.713,7.47
"154",0.18617525661617,85,7.47
"155",0.236621809677404,88.5,7.47
"156",0.27140147634407,91,7.47
"157",0.111976643010732,101.353,7.47
"158",-0.209027369976288,110,7.47
"159",-0.55510653664297,113,7.47
"160",-0.331521591404871,138,7.47
"161",0.176670733113743,2.329,8
"162",0.0785232331137373,10,8
"163",0.0776382494827773,22.08,8
"164",0.094543640355786,30.277,8
"165",0.0756788070224473,35.143,8
"166",0.0575498209113326,46,8
"167",0.0434854250779961,51.004,8
"168",0.0373969875779944,55.451,8
"169",0.0697216096018044,63,8
"170",-0.0597655502621368,70.367,8
"171",-0.058307883595468,70.606,8
"172",-0.0307883558176909,76,8
"173",0.00644504233045338,77.713,8
"174",0.0346507923304531,85,8
"175",0.0595273453916898,88.5,8
"176",0.0687370120583586,91,8
"177",-0.116257821274977,101.353,8
"178",-0.400353500928664,110,8
"179",-0.746432667595346,113,8
"180",-0.522847722357247,138,8
"181",0.098580649780415,2.329,9.02
"182",0.00454214978040862,10,9.02
"183",0.00776616614944781,22.08,9.02
"184",0.0287805570224558,30.277,9.02
"185",0.0140247236891163,35.143,9.02
"186",4.73757800087404e-06,46,9.02
"187",0.00986450841133205,51.004,9.02
"188",0.027700237577998,55.451,9.02
"189",0.022953859601807,63,9.02
"190",0.00423319973786355,70.367,9.02
"191",0.00277553307119476,70.606,9.02
"192",0.027379727515634,76,9.02
"193",0.0390431256637811,77.713,9.02
"194",0.0416788756637834,85,9.02
"195",0.0409854287250222,88.5,9.02
"196",0.0246250953916936,91,9.02
"197",-0.123461404608309,101.353,9.02
"198",-0.370648750928663,110,9.02
"199",-0.679819584262013,113,9.02
"200",-0.456234639023914,138,9.02
"201",0.0658748402566021,2.329,9.5
"202",-0.024054659743405,10,9.5
"203",-0.0167216433743665,22.08,9.5
"204",0.00840174749864067,30.277,9.5
"205",-0.00224508583469951,35.143,9.5
"206",0.00765909472085266,46,9.5
"207",0.0414430322208515,51.004,9.5
"208",0.083202928054185,55.451,9.5
"209",0.0413855500779931,63,9.5
"210",-0.00725427645261841,70.367,9.5
"211",-0.00364894311928383,70.606,9.5
"212",0.0260182513251588,76,9.5
"213",0.0405536494733086,77.713,9.5
"214",0.0369680661399765,85,9.5
"215",0.0416782858678797,88.5,9.5
"216",0.0307216192012146,91,9.5
"217",-0.080456547465455,101.353,9.5
"218",-0.290735560452476,110,9.5
"219",-0.562998060452493,113,9.5
"220",-0.339413115214394,138,9.5
"221",0.0551882038929737,2.329,9.75
"222",-0.0306322961070342,10,9.75
"223",-0.0191902797379965,22.08,9.75
"224",0.01004211113501,30.277,9.75
"225",0.00350427780166905,35.143,9.75
"226",0.0373326250238889,46,9.75
"227",0.0950407291905553,51.004,9.75
"228",0.160724791690556,55.451,9.75
"229",0.0889882470476965,63,9.75
"230",0.010429253850417,70.367,9.75
"231",0.0173070316281952,70.606,9.75
"232",0.0502466705170812,76,9.75
"233",0.0190658186652286,77.713,9.75
"234",0.0105481242207832,85,9.75
"235",0.0206620106153508,88.5,9.75
"236",0.01510901061535,91,9.75
"237",-0.0591608227179867,101.353,9.75
"238",-0.232531502371675,110,9.75
"239",-0.467885669038359,113,9.75
"240",-0.274258961895498,138,9.75
"241",-0.110428663831898,2.329,10
"242",-0.192140163831907,10,10
"243",-0.17658914746287,22.08,10
"244",-0.143247756589864,30.277,10
"245",-0.145676589923206,35.143,10
"246",-0.0879240760343181,46,10
"247",-0.00629180520098407,51.004,10
"248",0.0833164239656847,55.451,10
"249",0.0802198317037755,63,10
"250",0.0703007908874466,70.367,10
"251",0.0336475686652303,70.606,10
"252",0.0230562075541222,76,10
"253",0.0118986890356028,77.713,10
"254",-0.0015511165199559,85,10
"255",0.0139664365412751,88.5,10
"256",0.0138171032079382,91,10
"257",-0.0235443967920656,101.353,10
"258",-0.160006743112421,110,10
"259",-0.358452576445772,113,10
"260",-0.19478410739815,138,10
"261",-0.356632409863643,2.329,10.2
"262",-0.434234909863652,10,10.2
"263",-0.414574893494616,22.08,10.2
"264",-0.377124502621611,30.277,10.2
"265",-0.355629169288285,35.143,10.2
"266",-0.27395248873273,46,10.2
"267",-0.168396051232728,51.004,10.2
"268",-0.0101478696851087,55.451,10.2
"269",0.0553954904339327,63,10.2
"270",0.114116401998555,70.367,10.2
"271",0.0339321797763439,70.606,10.2
"272",-0.0201901813347589,76,10.2
"273",-0.0113243665199443,77.713,10.2
"274",-0.0297062831866164,85,10.2
"275",-0.0206015872682461,88.5,10.2
"276",-0.0221454206015821,91,10.2
"277",-0.022598587268253,101.353,10.2
"278",-0.122152600255276,110,10.2
"279",-0.283690100255294,113,10.2
"280",-0.14997986930291,138,10.2
"281",-0.45045012074801,2.329,10.5
"282",-0.52394362074802,10,10.5
"283",-0.500174604378984,22.08,10.5
"284",-0.45861521350598,30.277,10.5
"285",-0.413195713505987,35.143,10.5
"286",-0.307594866283764,46,10.5
"287",-0.178114262117094,51.004,10.5
"288",-0.019251413902804,55.451,10.5
"289",0.0469066128829083,63,10.5
"290",0.106242191114201,70.367,10.5
"291",0.0266726355586612,70.606,10.5
"292",-0.0264137255524442,76,10.5
"293",-0.0165119107376322,77.713,10.5
"294",-0.0205994940709669,85,10.5
"295",-0.0179076552954574,88.5,10.5
"296",-0.0208459886287925,91,10.5
"297",0.0156091780378694,101.353,10.5
"298",-0.0470365016158202,110,10.5
"299",-0.171665668282506,113,10.5
"300",-0.0679136754253599,138,10.5
"301",-0.55469193503374,2.329,10.94
"302",-0.624076435033751,10,10.94
"303",-0.596198418664716,22.08,10.94
"304",-0.550530027791713,30.277,10.94
"305",-0.481186361125052,35.143,10.94
"306",-0.351661347236161,46,10.94
"307",-0.198256576402824,51.004,10.94
"308",-0.0387790615218629,55.451,10.94
"309",0.0279936319305202,63,10.94
"310",0.0879438768284839,70.367,10.94
"311",0.0089889879396149,70.606,10.94
"312",-0.0430613731714932,76,10.94
"313",-0.032123558356684,77.713,10.94
"314",-0.0219168083566811,85,10.94
"315",-0.0122207695811717,88.5,10.94
"316",-0.0314517695811699,91,10.94
"317",0.0174778732759721,101.353,10.94
"318",-0.0326933301872375,110,10.94
"319",-0.0904341635205829,113,10.94
"320",-0.0166404087586754,138,10.94
"321",-0.611486637414714,2.329,11.97
"322",-0.676762137414726,10,11.97
"323",-0.644775121045692,22.08,11.97
"324",-0.575182563506021,30.277,11.97
"325",-0.481914730172692,35.143,11.97
"326",-0.328465549617134,46,11.97
"327",-0.174446112117126,51.004,11.97
"328",-0.0143539305694937,55.451,11.97
"329",0.0530334295495603,63,11.97
"330",0.128937674447525,70.367,11.97
"331",0.0659367855586564,70.606,11.97
"332",0.029840424447549,76,11.97
"333",0.0567322392623588,77.713,11.97
"334",-0.0261890107376366,85,11.97
"335",-0.109620971962125,88.5,11.97
"336",-0.0727929719621212,91,11.97
"337",-0.0113888529144992,101.353,11.97
"338",-0.0490855801872287,110,11.97
"339",-0.039938080187234,113,11.97
"340",0.00389743647943509,138,11.97
"341",-0.83261888344648,2.329,13.37
"342",-0.893785383446492,10,13.37
"343",-0.83787420041079,22.08,13.37
"344",-0.744357476204452,30.277,13.37
"345",-0.627165476204455,35.143,13.37
"346",-0.473101628982226,46,13.37
"347",-0.318467524815548,51.004,13.37
"348",-0.142421343267915,55.451,13.37
"349",-0.05907998314886,63,13.37
"350",0.0327782617491052,70.367,13.37
"351",-0.0142686271397625,70.606,13.37
"352",-0.0344109882508692,76,13.37
"353",0.00843482656394136,77.713,13.37
"354",-0.0771997567693883,85,13.37
"355",-0.163345051327211,88.5,13.37
"356",-0.129230384660541,91,13.37
"357",-0.0777055989462498,101.353,13.37
"358",-0.023026826218973,110,13.37
"359",0.0530090071143619,113,13.37
"360",0.0668862856857926,138,13.37
"361",-0.794382407256001,2.329,14.87
"362",-0.831624740589346,10,14.87
"363",-0.751789390886977,22.08,14.87
"364",-0.657658000013967,30.277,14.87
"365",-0.5398513333473,35.143,14.87
"366",-0.36983348612507,46,14.87
"367",-0.199245381958391,51.004,14.87
"368",-0.00724520041075725,55.451,14.87
"369",0.0920501597082982,63,14.87
"370",0.199862404606264,70.367,14.87
"371",0.168769515717397,70.606,14.87
"372",0.145913821272956,76,14.87
"373",0.186046302754432,77.713,14.87
"374",0.0976983860877685,85,14.87
"375",0.00883975819661111,88.5,14.87
"376",0.0402410915299469,91,14.87
"377",-0.0151339560891028,101.353,14.87
"378",-0.0673550166951664,110,14.87
"379",-0.0121235166951659,113,14.87
"380",-0.0289584762189749,138,14.87
"381",-0.790597073922699,2.329,15.57
"382",-0.803915240589376,10,15.57
"383",-0.700155724220339,22.08,15.57
"384",-0.590070333347329,30.277,15.57
"385",-0.45630966668066,35.143,15.57
"386",-0.27033781945843,46,15.57
"387",-0.0837957152917501,51.004,15.57
"388",0.124158466255884,55.451,15.57
"389",0.23940782637494,63,15.57
"390",0.344506737939572,70.367,15.57
"391",0.310700515717371,70.606,15.57
"392",0.285131487939596,76,15.57
"393",0.322550636087737,77.713,15.57
"394",0.231489386087739,85,15.57
"395",0.164398424863256,88.5,15.57
"396",0.217567424863266,91,15.57
"397",0.183960043910891,101.353,15.57
"398",0.153506649971502,110,15.57
"399",-0.0525418500284984,113,15.57
"400",-0.100089047647547,138,15.57
